"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"144","daily","sGARCH","norm","3,1","0,0","-2.83030868107787",0.00046192983080906
"145","daily","sGARCH","norm","3,1","0,1","-2.83702389741533",0.038928547946367
"146","daily","sGARCH","norm","3,1","0,2","-2.84031206042566",1.00581666800936e-05
"147","daily","sGARCH","norm","3,1","0,3","-2.83889614892022",9.09758157696672e-10
"148","daily","sGARCH","norm","3,1","0,4","-2.83661180893677",3.31734639757997e-13
"149","daily","sGARCH","norm","3,1","1,0","-2.83498502099422",0.066741711379137
"150","daily","sGARCH","norm","3,1","1,1","-2.84417772174394",3.11639603012281e-12
"151","daily","sGARCH","norm","3,1","1,2","-2.84087894218637",5.88529225353795e-13
"152","daily","sGARCH","norm","3,1","1,3","-2.83757569141303",2.03947969623641e-13
"153","daily","sGARCH","norm","3,1","1,4","-2.8342730799305",2.19824158875781e-14
"154","daily","sGARCH","norm","3,1","2,0","-2.83761294855246",0.0321859754960044
"155","daily","sGARCH","norm","3,1","2,1","-2.84087276158545",5.95301585804009e-13
"156","daily","sGARCH","norm","3,1","2,2","-2.83757016891394",1.4432899320127e-13
"157","daily","sGARCH","norm","3,1","2,3","-2.82606790133636",0.00446109512005843
"158","daily","sGARCH","norm","3,1","2,4","-2.83853601841671",8.10462807976364e-15
"159","daily","sGARCH","norm","3,1","3,0","-2.83612636058131",0.000670442639213231
"160","daily","sGARCH","norm","3,1","3,1","-2.83763196666627",2.27928786955545e-13
"161","daily","sGARCH","norm","3,1","3,2","-2.83534573715653",6.66133814775094e-15
"162","daily","sGARCH","norm","3,1","3,3","-2.84512403102967",0
"163","daily","sGARCH","norm","3,1","3,4","-2.83145130941998",4.44089209850063e-16
"164","daily","sGARCH","norm","3,1","4,0","-2.8339627467522",3.89911334774951e-07
"165","daily","sGARCH","norm","3,1","4,1","-2.83407623854485",1.765254609154e-14
"166","daily","sGARCH","norm","3,1","4,2","-2.83361471063728",2.60902410786912e-14
"167","daily","sGARCH","norm","3,1","4,3","-2.82737559030133",2.22044604925031e-16
"168","daily","sGARCH","norm","3,2","0,0","-2.83485103983357",0.00046192983080906
"169","daily","sGARCH","norm","3,2","0,1","-2.83993373042097",0.122480335852666
"170","daily","sGARCH","norm","3,2","0,2","-2.84385855670572",1.18329250385907e-05
"171","daily","sGARCH","norm","3,2","0,3","-2.84165267865716",8.58750621723914e-08
"172","daily","sGARCH","norm","3,2","0,4","-2.83979495099592",1.25353061264377e-11
"173","daily","sGARCH","norm","3,2","1,0","-2.83165242220268",0.0667618828623553
"174","daily","sGARCH","norm","3,2","1,1","-2.84632480249475",2.59235433119898e-09
"175","daily","sGARCH","norm","3,2","1,2","-2.84324465000656",2.0122070676365e-10
"176","daily","sGARCH","norm","3,2","1,3","-2.84009166953411",6.07736083679811e-11
"177","daily","sGARCH","norm","3,2","1,4","-2.83718194456721",2.18802753693126e-12
"178","daily","sGARCH","norm","3,2","2,0","-2.84129167200261",0.031668909651315
"179","daily","sGARCH","norm","3,2","2,1","-2.84321579822502",2.22467821942018e-10
"180","daily","sGARCH","norm","3,2","2,2","-2.84015698760139",1.66758828967772e-11
"181","daily","sGARCH","norm","3,2","2,3","-2.83764773391375",6.25355323080612e-12
"182","daily","sGARCH","norm","3,2","2,4","-2.83087068330352",8.26300873280061e-08
"183","daily","sGARCH","norm","3,2","3,0","-2.83929019149789",0.00250165552095594
"184","daily","sGARCH","norm","3,2","3,1","-2.84020898175924",7.10014269600379e-11
"185","daily","sGARCH","norm","3,2","3,2","-2.83975934187799",2.30981900273264e-12
